Name,Qty,Unit
Screws Pro-Twist #7 7/16",0.05,Box of 1000
2-1/2 in x 20 gauge track,387.17,LF
Gypsum Board Wall Area to Paint,0.00,Square Feet
Primer Interior Latex,0.00,Gallons
Interior Enamel Oil Base Semi-Gloss,0.00,Gallons
09.21.01 (1)Carpenter,36.87,Crew Hours
4 in x 14 gauge - 10 ft high,145.19,EA
Powder Activated Fastener 3/4",0.92,Box of 100
Metal Partition,184.37,Linear Feet
09.90.07 (7) Painters,0.00,Crew Hours
PT-13,0.00,Gallons
Linear Feet of Interior Wall To Paint,184.37,Linear Feet

STACK Construction Technologies is not responsible for ensuring the accuracy and completeness of this report. Results are not guaranteed.
