Name,Description,Qty,UOM
EDC Door unit,,8.00,Ea
Camera - wall fixed exterior,,9.00,Ea
Data - 2 drop floor,,6.00,Ea
Data  - TV,,13.00,Ea
Data - 2 drop wall,,28.00,Ea
Data - 1 drop wall,,6.00,Ea
Data - Phone drop (P),,14.00,Ea
A/V - Speaker Ceiling recessed,,42.00,Ea
A/V - volume control,,13.00,Ea
A/V - Speaker Horn,,4.00,Ea
IDS - motion wall,,6.00,Ea
A/V - Speaker Hanging,,26.00,Ea
Rack - wall rack,,1.00,Ea

STACK Construction Technologies is not responsible for ensuring the accuracy and completeness of this report. Results are not guaranteed.
